age_upon_outcome,animal_id_outcome,date_of_birth,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_(years),age_upon_outcome_age_group,outcome_datetime,outcome_month,outcome_year,outcome_monthyear,outcome_weekday,outcome_hour,outcome_number,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),age_upon_intake_age_group,intake_datetime,intake_month,intake_year,intake_monthyear,intake_weekday,intake_hour,intake_number,time_in_shelter,time_in_shelter_days
3 years,A640122,2012-07-20 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2016-04-16 16:18,4,2016,Apr-16,Saturday,16,4,2012,7,Apr-16,3 years,A640122,Dog,Labrador Retriever Mix,Black,4612 Peach Grove Rd in Austin (TX),Normal,Stray,Neutered Male,1,1095,3,"(2.5, 5.0]",2016-04-16 14:15,4,2016,Apr-16,Saturday,14,4,0 days 02:03:00.000000000,0.085416667
1 year,A640132,2012-09-06 0:00,,Adoption,Neutered Male,365,1,"(-0.025, 2.5]",2013-11-08 12:08,11,2013,Nov-13,Friday,12,1,2012,9,Nov-13,1 year,A640132,Dog,Beagle Mix,Black/White,Wood Hollow And Far West in Austin (TX),Normal,Stray,Neutered Male,1,365,1,"(-0.025, 2.5]",2013-10-29 13:40,10,2013,Oct-13,Tuesday,13,1,9 days 22:28:00.000000000,9.936111111
4 years,A640185,2012-05-21 0:00,,Adoption,Neutered Male,1460,4,"(2.5, 5.0]",2016-06-07 18:54,6,2016,Jun-16,Tuesday,18,1,2012,5,Jun-16,3 years,A640185,Dog,Pit Bull Mix,Blue/White,East Oltorf And South Ih 35 in Austin (TX),Normal,Stray,Neutered Male,1,1095,3,"(2.5, 5.0]",2016-05-08 15:37,5,2016,May-16,Sunday,15,1,30 days 03:17:00.000000000,30.13680556
3 years,A640185,2012-05-21 0:00,,Adoption,Neutered Male,1095,3,"(2.5, 5.0]",2016-02-22 18:11,2,2016,Feb-16,Monday,18,2,2012,5,Feb-16,3 years,A640185,Dog,Pit Bull Mix,Blue/White,130 And Fm 812 in Travis (TX),Normal,Stray,Neutered Male,1,1095,3,"(2.5, 5.0]",2015-11-04 17:10,11,2015,Nov-15,Wednesday,17,2,110 days 01:01:00.000000000,110.0423611
14 years,A640230,2001-10-22 0:00,Partner,Transfer,Intact Male,5110,14,"(12.5, 15.0]",2016-08-07 17:21,8,2016,Aug-16,Sunday,17,1,2001,10,Aug-16,14 years,A640230,Dog,Chihuahua Longhair,White/Tan,Watson Rd And Anderson Ln in Austin (TX),Normal,Stray,Intact Male,1,5110,14,"(12.5, 15.0]",2016-08-06 11:53,8,2016,Aug-16,Saturday,11,1,1 days 05:28:00.000000000,1.227777778
4 years,A640232,2012-07-31 0:00,,Return to Owner,Neutered Male,1460,4,"(2.5, 5.0]",2017-03-11 11:45,3,2017,Mar-17,Saturday,11,1,2012,7,Mar-17,4 years,A640232,Dog,Labrador Retriever Mix,Black/White,Del Valle (TX),Normal,Public Assist,Neutered Male,1,1460,4,"(2.5, 5.0]",2017-03-01 16:19,3,2017,Mar-17,Wednesday,16,1,9 days 19:26:00.000000000,9.809722222
4 years,A640235,2011-07-28 0:00,,Return to Owner,Spayed Female,1460,4,"(2.5, 5.0]",2015-07-30 15:55,7,2015,Jul-15,Thursday,15,1,2011,7,Jul-15,4 years,A640235,Dog,Miniature Poodle Mix,White,Austin (TX),Normal,Public Assist,Spayed Female,1,1460,4,"(2.5, 5.0]",2015-07-28 19:06,7,2015,Jul-15,Tuesday,19,1,1 days 20:49:00.000000000,1.867361111
4 years,A640310,2010-10-23 0:00,,Return to Owner,Neutered Male,1460,4,"(2.5, 5.0]",2015-01-29 17:01,1,2015,Jan-15,Thursday,17,1,2010,10,Jan-15,4 years,A640310,Dog,Pit Bull Mix,Brown Brindle/White,5201 Ross Rd in Travis (TX),Normal,Stray,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-01-28 21:08,1,2015,Jan-15,Wednesday,21,1,0 days 19:53:00.000000000,0.828472222
3 years,A640310,2010-10-23 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2014-05-16 18:34,5,2014,May-14,Friday,18,2,2010,10,May-14,3 years,A640310,Dog,Pit Bull Mix,Brown Brindle/White,12504 La Paz Ln in Travis (TX),Normal,Stray,Neutered Male,1,1095,3,"(2.5, 5.0]",2014-05-16 16:28,5,2014,May-14,Friday,16,2,0 days 02:06:00.000000000,0.0875
4 years,A640416,2009-10-24 0:00,Partner,Transfer,Spayed Female,1460,4,"(2.5, 5.0]",2014-09-06 18:57,9,2014,Sep-14,Saturday,18,1,2009,10,Sep-14,4 years,A640416,Dog,Pit Bull Mix,White/Brown Brindle,1142 Shady Ln in Austin (TX),Normal,Stray,Spayed Female,1,1460,4,"(2.5, 5.0]",2014-08-22 16:23,8,2014,Aug-14,Friday,16,1,15 days 02:34:00.000000000,15.10694444
5 years,A640424,2011-04-24 0:00,Partner,Transfer,Neutered Male,1825,5,"(2.5, 5.0]",2016-06-18 17:02,6,2016,Jun-16,Saturday,17,1,2011,4,Jun-16,5 years,A640424,Dog,Pointer Mix,White/Black,Austin (TX),Normal,Owner Surrender,Neutered Male,1,1825,5,"(2.5, 5.0]",2016-05-31 15:30,5,2016,May-16,Tuesday,15,1,18 days 01:32:00.000000000,18.06388889
4 years,A640424,2011-04-24 0:00,,Return to Owner,Neutered Male,1460,4,"(2.5, 5.0]",2016-04-19 17:41,4,2016,Apr-16,Tuesday,17,2,2011,4,Apr-16,4 years,A640424,Dog,Pointer Mix,White/Black,Austin (TX),Normal,Public Assist,Neutered Male,1,1460,4,"(2.5, 5.0]",2016-04-10 16:50,4,2016,Apr-16,Sunday,16,2,9 days 00:51:00.000000000,9.035416667
4 years,A640424,2011-04-24 0:00,,Return to Owner,Neutered Male,1460,4,"(2.5, 5.0]",2015-07-24 15:59,7,2015,Jul-15,Friday,15,3,2011,4,Jul-15,4 years,A640424,Dog,Pointer Mix,White/Black,Austin (TX),Normal,Public Assist,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-07-15 19:10,7,2015,Jul-15,Wednesday,19,3,8 days 20:49:00.000000000,8.867361111
4 years,A640424,2011-04-24 0:00,,Return to Owner,Neutered Male,1460,4,"(2.5, 5.0]",2015-05-02 18:47,5,2015,May-15,Saturday,18,4,2011,4,May-15,4 years,A640424,Dog,Pointer Mix,White/Black,Austin (TX),Normal,Public Assist,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-04-28 19:01,4,2015,Apr-15,Tuesday,19,4,3 days 23:46:00.000000000,3.990277778
2 years,A640464,2011-10-25 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2014-08-30 17:18,8,2014,Aug-14,Saturday,17,1,2011,10,Aug-14,2 years,A640464,Dog,Australian Cattle Dog,Red/White,Springdale And Breeds Hill in Austin (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2014-08-11 13:29,8,2014,Aug-14,Monday,13,1,19 days 03:49:00.000000000,19.15902778
2 years,A640464,2011-10-25 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2014-06-27 11:18,6,2014,Jun-14,Friday,11,2,2011,10,Jun-14,2 years,A640464,Dog,Australian Cattle Dog,Red/White,9100 Block Magna Carta Loop in Austin (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2014-06-23 13:34,6,2014,Jun-14,Monday,13,2,3 days 21:44:00.000000000,3.905555556
2 years,A640464,2011-10-25 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2014-05-13 18:58,5,2014,May-14,Tuesday,18,3,2011,10,May-14,2 years,A640464,Dog,Australian Cattle Dog,Red/White,4310 Virginia Dare in Travis (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2014-05-13 14:46,5,2014,May-14,Tuesday,14,3,0 days 04:12:00.000000000,0.175
4 years,A640489,2012-10-10 0:00,,Return to Owner,Spayed Female,1460,4,"(2.5, 5.0]",2017-03-22 14:13,3,2017,Mar-17,Wednesday,14,1,2012,10,Mar-17,4 years,A640489,Cat,Siamese Mix,Lynx Point,Austin (TX),Normal,Owner Surrender,Spayed Female,1,1460,4,"(2.5, 5.0]",2017-03-18 9:02,3,2017,Mar-17,Saturday,9,1,4 days 05:11:00.000000000,4.215972222
2 years,A640500,2012-09-10 0:00,Partner,Transfer,Neutered Male,730,2,"(-0.025, 2.5]",2015-06-23 13:39,6,2015,Jun-15,Tuesday,13,1,2012,9,Jun-15,2 years,A640500,Cat,Domestic Shorthair Mix,Black/White,Austin (TX),Normal,Owner Surrender,Neutered Male,1,730,2,"(-0.025, 2.5]",2015-06-15 15:24,6,2015,Jun-15,Monday,15,1,7 days 22:15:00.000000000,7.927083333
3 years,A640511,2011-08-26 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2014-09-16 14:33,9,2014,Sep-14,Tuesday,14,1,2011,8,Sep-14,3 years,A640511,Dog,American Foxhound Mix,White/Brown,Austin (TX),Normal,Owner Surrender,Neutered Male,1,1095,3,"(2.5, 5.0]",2014-09-14 16:29,9,2014,Sep-14,Sunday,16,1,1 days 22:04:00.000000000,1.919444444
3 years,A640516,2010-10-26 0:00,,Adoption,Neutered Male,1095,3,"(2.5, 5.0]",2014-01-04 12:26,1,2014,Jan-14,Saturday,12,1,2010,10,Jan-14,3 years,A640516,Dog,American Bulldog,White/Brown Tiger,1900 Gracy Farms in Austin (TX),Normal,Stray,Neutered Male,1,1095,3,"(2.5, 5.0]",2013-12-09 13:38,12,2013,Dec-13,Monday,13,1,25 days 22:48:00.000000000,25.95
5 years,A640517,2011-12-26 0:00,,Return to Owner,Neutered Male,1825,5,"(2.5, 5.0]",2017-03-06 16:56,3,2017,Mar-17,Monday,16,1,2011,12,Mar-17,5 years,A640517,Dog,Pit Bull Mix,White/Black,4710 E 5Th St in Austin (TX),Normal,Stray,Neutered Male,1,1825,5,"(2.5, 5.0]",2017-03-06 15:11,3,2017,Mar-17,Monday,15,1,0 days 01:45:00.000000000,0.072916667
5 years,A640517,2011-12-26 0:00,,Return to Owner,Neutered Male,1825,5,"(2.5, 5.0]",2017-01-18 14:37,1,2017,Jan-17,Wednesday,14,2,2011,12,Jan-17,5 years,A640517,Dog,Pit Bull Mix,White/Black,411 Tillery Street in Austin (TX),Normal,Stray,Neutered Male,1,1825,5,"(2.5, 5.0]",2017-01-18 12:02,1,2017,Jan-17,Wednesday,12,2,0 days 02:35:00.000000000,0.107638889
1 year,A640537,2012-07-26 0:00,,Adoption,Spayed Female,365,1,"(-0.025, 2.5]",2014-06-03 12:02,6,2014,Jun-14,Tuesday,12,1,2012,7,Jun-14,1 year,A640537,Dog,Chihuahua Shorthair Mix,Black/White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-05-30 16:38,5,2014,May-14,Friday,16,1,3 days 19:24:00.000000000,3.808333333
2 years,A640538,2011-04-26 0:00,,Return to Owner,Neutered Male,730,2,"(-0.025, 2.5]",2014-03-05 16:47,3,2014,Mar-14,Wednesday,16,1,2011,4,Mar-14,2 years,A640538,Dog,German Shepherd Mix,Buff,Fm 1625  And Fm 1327 in Creedmoor (TX),Normal,Stray,Neutered Male,1,730,2,"(-0.025, 2.5]",2014-03-01 17:50,3,2014,Mar-14,Saturday,17,1,3 days 22:57:00.000000000,3.95625
3 years,A640562,2010-10-26 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2014-05-20 17:06,5,2014,May-14,Tuesday,17,1,2010,10,May-14,3 years,A640562,Dog,Pit Bull Mix,Blue/White,9602 Capitol View Dr in Travis (TX),Normal,Public Assist,Intact Male,1,1095,3,"(2.5, 5.0]",2014-05-07 20:03,5,2014,May-14,Wednesday,20,1,12 days 21:03:00.000000000,12.87708333
7 years,A640583,2007-10-26 0:00,Partner,Transfer,Neutered Male,2555,7,"(5.0, 7.5]",2015-02-10 14:31,2,2015,Feb-15,Tuesday,14,1,2007,10,Feb-15,7 years,A640583,Cat,Domestic Shorthair Mix,Blue,2100 Rio Grande in Austin (TX),Normal,Stray,Neutered Male,1,2555,7,"(5.0, 7.5]",2015-01-26 16:22,1,2015,Jan-15,Monday,16,1,14 days 22:09:00.000000000,14.92291667
2 years,A640613,2012-04-27 0:00,,Adoption,Spayed Female,730,2,"(-0.025, 2.5]",2014-09-19 18:20,9,2014,Sep-14,Friday,18,1,2012,4,Sep-14,2 years,A640613,Cat,Domestic Shorthair Mix,Orange Tabby,Austin (TX),Normal,Owner Surrender,Spayed Female,1,730,2,"(-0.025, 2.5]",2014-08-28 13:23,8,2014,Aug-14,Thursday,13,1,22 days 04:57:00.000000000,22.20625
3 years,A640624,2010-10-27 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2013-11-14 9:52,11,2013,Nov-13,Thursday,9,1,2010,10,Nov-13,3 years,A640624,Dog,Australian Cattle Dog,Black/White,Austin (TX),Normal,Public Assist,Neutered Male,1,1095,3,"(2.5, 5.0]",2013-11-08 18:49,11,2013,Nov-13,Friday,18,1,5 days 15:03:00.000000000,5.627083333
2 years,A640636,2010-12-12 0:00,Partner,Transfer,Neutered Male,730,2,"(-0.025, 2.5]",2013-11-12 11:14,11,2013,Nov-13,Tuesday,11,1,2010,12,Nov-13,2 years,A640636,Dog,Doberman Pinsch Mix,Black/Tan,11401 Century Oaks Terr in Austin (TX),Normal,Stray,Intact Male,1,730,2,"(-0.025, 2.5]",2013-11-05 15:45,11,2013,Nov-13,Tuesday,15,1,6 days 19:29:00.000000000,6.811805556
4 years,A640655,2009-04-27 0:00,,Return to Owner,Spayed Female,1460,4,"(2.5, 5.0]",2014-04-25 11:17,4,2014,Apr-14,Friday,11,1,2009,4,Apr-14,4 years,A640655,Dog,Miniature Schnauzer/Miniature Poodle,White,Austin (TX),Normal,Public Assist,Spayed Female,1,1460,4,"(2.5, 5.0]",2014-04-16 16:50,4,2014,Apr-14,Wednesday,16,1,8 days 18:27:00.000000000,8.76875
1 year,A640710,2012-10-28 0:00,,Return to Owner,Neutered Male,365,1,"(-0.025, 2.5]",2014-08-20 16:34,8,2014,Aug-14,Wednesday,16,1,2012,10,Aug-14,1 year,A640710,Dog,Blue Lacy,Blue/White,1823 Fortview Rd in Austin (TX),Normal,Stray,Neutered Male,1,365,1,"(-0.025, 2.5]",2014-08-20 16:07,8,2014,Aug-14,Wednesday,16,1,0 days 00:27:00.000000000,0.01875
1 year,A640710,2012-10-28 0:00,,Adoption,Neutered Male,365,1,"(-0.025, 2.5]",2014-08-08 15:44,8,2014,Aug-14,Friday,15,2,2012,10,Aug-14,1 year,A640710,Dog,Blue Lacy,Blue/White,Austin (TX),Normal,Stray,Neutered Male,1,365,1,"(-0.025, 2.5]",2014-07-23 17:22,7,2014,Jul-14,Wednesday,17,2,15 days 22:22:00.000000000,15.93194444
3 years,A640739,2011-10-29 0:00,Partner,Transfer,Spayed Female,1095,3,"(2.5, 5.0]",2014-11-22 14:40,11,2014,Nov-14,Saturday,14,1,2011,10,Nov-14,2 years,A640739,Dog,Pit Bull Mix,Brown/White,Austin (TX),Normal,Stray,Intact Female,1,730,2,"(-0.025, 2.5]",2014-07-21 14:44,7,2014,Jul-14,Monday,14,1,123 days 23:56:00.000000000,123.9972222
10 years,A640749,2006-10-29 0:00,,Return to Owner,Neutered Male,3650,10,"(7.5, 10.0]",2017-01-31 11:25,1,2017,Jan-17,Tuesday,11,1,2006,10,Jan-17,10 years,A640749,Cat,Siamese Mix,Blue Point,1005 W Stassney Lane in Austin (TX),Sick,Stray,Neutered Male,1,3650,10,"(7.5, 10.0]",2017-01-30 15:34,1,2017,Jan-17,Monday,15,1,0 days 19:51:00.000000000,0.827083333
6 years,A640768,2009-10-29 0:00,,Adoption,Neutered Male,2190,6,"(5.0, 7.5]",2016-08-01 12:26,8,2016,Aug-16,Monday,12,1,2009,10,Aug-16,6 years,A640768,Dog,Pit Bull Mix,Blue/White,4702 Dove Springs Dr in Austin (TX),Normal,Stray,Neutered Male,1,2190,6,"(5.0, 7.5]",2016-05-14 15:28,5,2016,May-16,Saturday,15,1,78 days 20:58:00.000000000,78.87361111
5 years,A640768,2009-10-29 0:00,,Return to Owner,Neutered Male,1825,5,"(2.5, 5.0]",2014-12-06 18:04,12,2014,Dec-14,Saturday,18,2,2009,10,Dec-14,5 years,A640768,Dog,Pit Bull Mix,Blue/White,Childress Dr And Marlborough Dr in Austin (TX),Normal,Stray,Intact Male,1,1825,5,"(2.5, 5.0]",2014-12-03 18:57,12,2014,Dec-14,Wednesday,18,2,2 days 23:07:00.000000000,2.963194444
7 years,A640771,2010-10-29 0:00,,Return to Owner,Spayed Female,2555,7,"(5.0, 7.5]",2017-11-07 11:34,11,2017,Nov-17,Tuesday,11,1,2010,10,Nov-17,7 years,A640771,Dog,Pit Bull Mix,White/Brown,8107 Tuscaroa Trail in Austin (TX),Normal,Stray,Spayed Female,1,2555,7,"(5.0, 7.5]",2017-11-06 18:34,11,2017,Nov-17,Monday,18,1,0 days 17:00:00.000000000,0.708333333
4 years,A640771,2010-10-29 0:00,,Return to Owner,Spayed Female,1460,4,"(2.5, 5.0]",2015-08-30 15:05,8,2015,Aug-15,Sunday,15,2,2010,10,Aug-15,4 years,A640771,Dog,Pit Bull Mix,White/Brown,Cesar Chavez And San Saba in Austin (TX),Normal,Stray,Spayed Female,1,1460,4,"(2.5, 5.0]",2015-08-29 17:36,8,2015,Aug-15,Saturday,17,2,0 days 21:29:00.000000000,0.895138889
4 years,A640778,2012-06-29 0:00,,Adoption,Spayed Female,1460,4,"(2.5, 5.0]",2017-01-29 12:16,1,2017,Jan-17,Sunday,12,1,2012,6,Jan-17,4 years,A640778,Dog,Jack Russell Terrier Mix,White,Karen Ave And Arroyo Seco in Austin (TX),Normal,Stray,Spayed Female,1,1460,4,"(2.5, 5.0]",2017-01-20 15:32,1,2017,Jan-17,Friday,15,1,8 days 20:44:00.000000000,8.863888889
1 year,A640778,2012-06-29 0:00,,Return to Owner,Spayed Female,365,1,"(-0.025, 2.5]",2014-01-08 16:59,1,2014,Jan-14,Wednesday,16,2,2012,6,Jan-14,1 year,A640778,Dog,Jack Russell Terrier Mix,White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,365,1,"(-0.025, 2.5]",2014-01-07 14:49,1,2014,Jan-14,Tuesday,14,2,1 days 02:10:00.000000000,1.090277778
2 years,A640789,2011-04-29 0:00,Aggressive,Euthanasia,Neutered Male,730,2,"(-0.025, 2.5]",2014-01-31 14:52,1,2014,Jan-14,Friday,14,1,2011,4,Jan-14,2 years,A640789,Dog,Labrador Retriever Mix,Black,8220 Sh 71 in Travis (TX),Normal,Public Assist,Neutered Male,1,730,2,"(-0.025, 2.5]",2014-01-17 19:19,1,2014,Jan-14,Friday,19,1,13 days 19:33:00.000000000,13.81458333
2 years,A640790,2011-04-29 0:00,Partner,Transfer,Spayed Female,730,2,"(-0.025, 2.5]",2014-02-20 17:28,2,2014,Feb-14,Thursday,17,1,2011,4,Feb-14,2 years,A640790,Dog,Labrador Retriever Mix,Black,8220 Sh 71 in Travis (TX),Normal,Public Assist,Spayed Female,1,730,2,"(-0.025, 2.5]",2014-01-22 19:19,1,2014,Jan-14,Wednesday,19,1,28 days 22:09:00.000000000,28.92291667
1 year,A640804,2012-06-29 0:00,,Adoption,Neutered Male,365,1,"(-0.025, 2.5]",2014-02-17 15:25,2,2014,Feb-14,Monday,15,1,2012,6,Feb-14,1 year,A640804,Cat,Domestic Shorthair Mix,Brown Tabby,1100 Ballybunion Place in Travis (TX),Normal,Stray,Intact Male,1,365,1,"(-0.025, 2.5]",2014-02-12 12:30,2,2014,Feb-14,Wednesday,12,1,5 days 02:55:00.000000000,5.121527778
8 years,A640810,2007-10-29 0:00,,Return to Owner,Spayed Female,2920,8,"(7.5, 10.0]",2016-01-20 17:25,1,2016,Jan-16,Wednesday,17,1,2007,10,Jan-16,8 years,A640810,Dog,Chihuahua Shorthair/Dachshund,Black/Tan,Travis (TX),Normal,Public Assist,Spayed Female,1,2920,8,"(7.5, 10.0]",2016-01-15 12:52,1,2016,Jan-16,Friday,12,1,5 days 04:33:00.000000000,5.189583333
2 years,A640924,2011-10-31 0:00,Rabies Risk,Euthanasia,Intact Male,730,2,"(-0.025, 2.5]",2014-07-16 9:10,7,2014,Jul-14,Wednesday,9,1,2011,10,Jul-14,2 years,A640924,Dog,Pit Bull,Brown/White,602 Montopolis in Austin (TX),Normal,Owner Surrender,Intact Male,1,730,2,"(-0.025, 2.5]",2014-07-15 13:22,7,2014,Jul-14,Tuesday,13,1,0 days 19:48:00.000000000,0.825
14 years,A640955,1999-10-31 0:00,Partner,Transfer,Spayed Female,5110,14,"(12.5, 15.0]",2013-10-30 16:32,10,2013,Oct-13,Wednesday,16,1,1999,10,Oct-13,14 years,A640955,Dog,Chihuahua Shorthair Mix,Brown Brindle/White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,5110,14,"(12.5, 15.0]",2013-10-27 15:12,10,2013,Oct-13,Sunday,15,1,3 days 01:20:00.000000000,3.055555556
5 years,A640969,2011-05-01 0:00,,Return to Owner,Neutered Male,1825,5,"(2.5, 5.0]",2016-10-12 18:56,10,2016,Oct-16,Wednesday,18,1,2011,5,Oct-16,5 years,A640969,Dog,Pit Bull Mix,Tan/White,5710 E Mlk Jr in Austin (TX),Normal,Stray,Neutered Male,1,1825,5,"(2.5, 5.0]",2016-10-12 11:36,10,2016,Oct-16,Wednesday,11,1,0 days 07:20:00.000000000,0.305555556
2 years,A640993,2012-03-01 0:00,Partner,Transfer,Spayed Female,730,2,"(-0.025, 2.5]",2015-02-16 13:08,2,2015,Feb-15,Monday,13,1,2012,3,Feb-15,2 years,A640993,Cat,Domestic Medium Hair Mix,Blue Tabby,7201 Levander Loop in Austin (TX),Normal,Stray,Spayed Female,1,730,2,"(-0.025, 2.5]",2015-02-09 13:43,2,2015,Feb-15,Monday,13,1,6 days 23:25:00.000000000,6.975694444
4 years,A641025,2012-07-01 0:00,,Adoption,Spayed Female,1460,4,"(2.5, 5.0]",2017-01-08 17:11,1,2017,Jan-17,Sunday,17,1,2012,7,Jan-17,4 years,A641025,Cat,Domestic Shorthair Mix,Tortie,2001 Kenneth Ave #A in Austin (TX),Normal,Public Assist,Spayed Female,1,1460,4,"(2.5, 5.0]",2016-12-08 8:31,12,2016,Dec-16,Thursday,8,1,31 days 08:40:00.000000000,31.36111111
4 years,A641036,2010-11-01 0:00,Aggressive,Euthanasia,Neutered Male,1460,4,"(2.5, 5.0]",2015-05-08 14:56,5,2015,May-15,Friday,14,1,2010,11,May-15,4 years,A641036,Dog,Pit Bull Mix,Blue/White,2100 Conestoga in Austin (TX),Normal,Stray,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-04-28 17:33,4,2015,Apr-15,Tuesday,17,1,9 days 21:23:00.000000000,9.890972222
4 years,A641036,2010-11-01 0:00,,Return to Owner,Neutered Male,1460,4,"(2.5, 5.0]",2015-03-17 11:38,3,2015,Mar-15,Tuesday,11,2,2010,11,Mar-15,4 years,A641036,Dog,Pit Bull Mix,Blue/White,904 Sirocco Dr in Austin (TX),Normal,Stray,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-03-15 7:48,3,2015,Mar-15,Sunday,7,2,2 days 03:50:00.000000000,2.159722222
3 years,A641048,2010-11-01 0:00,,Return to Owner,Neutered Male,1095,3,"(2.5, 5.0]",2014-10-03 13:21,10,2014,Oct-14,Friday,13,1,2010,11,Oct-14,3 years,A641048,Cat,Domestic Shorthair Mix,Black,124 W Anderson in Austin (TX),Normal,Stray,Neutered Male,1,1095,3,"(2.5, 5.0]",2014-10-02 16:05,10,2014,Oct-14,Thursday,16,1,0 days 21:16:00.000000000,0.886111111
4 years,A641085,2010-11-02 0:00,,Return to Owner,Neutered Male,1460,4,"(2.5, 5.0]",2015-05-27 15:04,5,2015,May-15,Wednesday,15,1,2010,11,May-15,4 years,A641085,Dog,Shih Tzu Mix,White/Tan,12118 Walnut Park # 911 in Austin (TX),Normal,Public Assist,Neutered Male,1,1460,4,"(2.5, 5.0]",2015-05-20 12:30,5,2015,May-15,Wednesday,12,1,7 days 02:34:00.000000000,7.106944444
3 years,A641103,2012-02-06 0:00,,Return to Owner,Intact Male,1095,3,"(2.5, 5.0]",2015-12-26 15:48,12,2015,Dec-15,Saturday,15,1,2012,2,Dec-15,3 years,A641103,Dog,Siberian Husky,Black/White,4600 Nuclols Crossing in Austin (TX),Normal,Stray,Intact Male,1,1095,3,"(2.5, 5.0]",2015-12-26 15:18,12,2015,Dec-15,Saturday,15,1,0 days 00:30:00.000000000,0.020833333
2 years,A641114,2012-08-27 0:00,,Adoption,Spayed Female,730,2,"(-0.025, 2.5]",2015-06-28 14:15,6,2015,Jun-15,Sunday,14,1,2012,8,Jun-15,2 years,A641114,Dog,Dachshund Wirehair Mix,White/Tan,Austin (TX),Normal,Owner Surrender,Spayed Female,1,730,2,"(-0.025, 2.5]",2015-06-27 15:06,6,2015,Jun-15,Saturday,15,1,0 days 23:09:00.000000000,0.964583333
4 years,A641116,2012-08-19 0:00,,Adoption,Neutered Male,1460,4,"(2.5, 5.0]",2017-06-18 18:32,6,2017,Jun-17,Sunday,18,1,2012,8,Jun-17,4 years,A641116,Cat,Domestic Shorthair Mix,White/Black,Austin (TX),Normal,Owner Surrender,Neutered Male,1,1460,4,"(2.5, 5.0]",2017-04-07 15:06,4,2017,Apr-17,Friday,15,1,72 days 03:26:00.000000000,72.14305556
4 years,A641116,2012-08-19 0:00,,Adoption,Neutered Male,1460,4,"(2.5, 5.0]",2017-04-01 16:17,4,2017,Apr-17,Saturday,16,2,2012,8,Apr-17,4 years,A641116,Cat,Domestic Shorthair Mix,White/Black,Williamson (TX),Normal,Owner Surrender,Neutered Male,1,1460,4,"(2.5, 5.0]",2017-03-10 12:13,3,2017,Mar-17,Friday,12,2,22 days 04:04:00.000000000,22.16944444
4 years,A641116,2012-08-19 0:00,,Adoption,Neutered Male,1460,4,"(2.5, 5.0]",2017-03-08 13:00,3,2017,Mar-17,Wednesday,13,3,2012,8,Mar-17,4 years,A641116,Cat,Domestic Shorthair Mix,White/Black,124 W Anderson Ln in Austin (TX),Normal,Stray,Neutered Male,1,1460,4,"(2.5, 5.0]",2017-02-27 16:00,2,2017,Feb-17,Monday,16,3,8 days 21:00:00.000000000,8.875
2 years,A641215,2010-11-04 0:00,,Return to Owner,Spayed Female,730,2,"(-0.025, 2.5]",2013-10-15 17:34,10,2013,Oct-13,Tuesday,17,1,2010,11,Oct-13,2 years,A641215,Dog,Pit Bull Mix,Black,5803 Nuckols Crossing in Austin (TX),Normal,Stray,Spayed Female,1,730,2,"(-0.025, 2.5]",2013-10-14 15:32,10,2013,Oct-13,Monday,15,1,1 days 02:02:00.000000000,1.084722222
3 years,A641222,2009-11-04 0:00,,Adoption,Neutered Male,1095,3,"(2.5, 5.0]",2013-11-02 13:41,11,2013,Nov-13,Saturday,13,1,2009,11,Nov-13,3 years,A641222,Cat,Domestic Medium Hair Mix,Black,Hyde Park in Austin (TX),Normal,Stray,Neutered Male,1,1095,3,"(2.5, 5.0]",2013-10-06 15:16,10,2013,Oct-13,Sunday,15,1,26 days 22:25:00.000000000,26.93402778
