age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake
3 years,A699929,Dog,Chihuahua Shorthair/Dachshund,Tan,2016-10-06T15:57:00.000,2016-10-06T15:57:00.000,7247 Cameron Rd in Austin (TX),Normal,Public Assist,Coco,Intact Male
2 months,A701015,Dog,Pit Bull Mix,Brown Brindle/White,2015-04-22T16:39:00.000,2015-04-22T16:39:00.000,2301 Polaris St in Austin (TX),Normal,Stray,Rhino,Intact Male
4 years,A549918,Cat,Domestic Shorthair Mix,Black,2014-05-01T11:00:00.000,2014-05-01T11:00:00.000,Austin (TX),Normal,Owner Surrender,Jack,Neutered Male
3 years,A667916,Dog,Rottweiler Mix,Black/Tan,2013-11-25T11:23:00.000,2013-11-25T11:23:00.000,Burnet Rd/Anderson Ln in Austin (TX),Normal,Stray,*Shasta,Intact Female
2 years,A681518,Other,Rabbit Sh Mix,Black/White,2014-06-17T18:37:00.000,2014-06-17T18:37:00.000,Rundberg And Cameron in Austin (TX),Injured,Stray,,Unknown
2 years,A684426,Dog,Basset Hound Mix,White/Black,2014-07-23T13:21:00.000,2014-07-23T13:21:00.000,4723 Castleman Dr in Austin (TX),Normal,Stray,*Lunchbox,Intact Female
3 years,A683812,Cat,Domestic Shorthair Mix,Black/White,2014-07-15T15:38:00.000,2014-07-15T15:38:00.000,Austin (TX),Normal,Owner Surrender,Squishy,Spayed Female
3 days,A694843,Dog,Border Collie Mix,Chocolate/Tan,2015-01-05T13:29:00.000,2015-01-05T13:29:00.000,21506 Ann Showers in Travis (TX),Nursing,Stray,,Intact Male
1 month,A678994,Cat,Domestic Medium Hair Mix,Tortie,2014-05-15T07:24:00.000,2014-05-15T07:24:00.000,12034 Research in Austin (TX),Injured,Stray,*Trixie,Intact Female
3 months,A746153,Dog,German Shepherd/Black Mouth Cur,Red/White,2017-04-27T12:37:00.000,2017-04-27T12:37:00.000,Airport Blvd And Mlk Blvd in Austin (TX),Normal,Stray,Daisy,Spayed Female
3 weeks,A747441,Cat,Domestic Shorthair Mix,Black,2017-04-19T15:29:00.000,2017-04-19T15:29:00.000,1301 Fairwood in Austin (TX),Nursing,Stray,,Intact Male
2 years,A720644,Cat,Domestic Shorthair Mix,Blue,2016-02-13T12:20:00.000,2016-02-13T12:20:00.000,7100 Whispering Winds Dr in Austin (TX),Sick,Stray,*Magenta,Intact Female
9 months,A700822,Dog,Pit Bull Mix,Tan/White,2015-04-20T11:02:00.000,2015-04-20T11:02:00.000,Summer Cir And Faro Dr in Austin (TX),Normal,Stray,*Dudley,Intact Male
4 weeks,A705936,Cat,Domestic Shorthair Mix,Brown Tabby,2015-06-22T17:27:00.000,2015-06-22T17:27:00.000,2329 Cesar Chavez in Austin (TX),Normal,Stray,Tigger,Intact Male
1 year,A671349,Dog,Chihuahua Shorthair/Dachshund,Brown/White,2014-02-20T18:11:00.000,2014-02-20T18:11:00.000,Austin (TX),Normal,Owner Surrender,*Ladybug,Spayed Female
3 years,A743267,Dog,Labrador Retriever Mix,Brown,2017-02-08T12:58:00.000,2017-02-08T12:58:00.000,16622 Wells Rd in Travis (TX),Normal,Public Assist,Daisy,Intact Female
2 weeks,A701705,Cat,Domestic Shorthair Mix,Orange Tabby,2015-05-03T15:37:00.000,2015-05-03T15:37:00.000,9515 Old Lockhart Rd in Austin (TX),Normal,Stray,,Intact Male
9 years,A506000,Dog,Labrador Retriever Mix,White/Tan,2016-05-17T13:51:00.000,2016-05-17T13:51:00.000,Austin (TX),Normal,Owner Surrender,Lt,Neutered Male
2 weeks,A683960,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-07-17T15:27:00.000,2014-07-17T15:27:00.000,213 W Wild Sena in Austin (TX),Nursing,Stray,,Unknown
1 month,A733550,Cat,Domestic Shorthair Mix,Brown Tabby/White,2016-08-23T14:35:00.000,2016-08-23T14:35:00.000,183 And Cameron in Austin (TX),Normal,Stray,*Paul,Intact Male
2 weeks,A680858,Bird,Duck,Yellow/Black,2014-06-09T11:40:00.000,2014-06-09T11:40:00.000,2000 N. Ih35 in Austin (TX),Normal,Stray,,Unknown
1 year,A757829,Dog,Catahoula Mix,Black/White,2017-09-14T16:04:00.000,2017-09-14T16:04:00.000,Outside Jurisdiction,Normal,Owner Surrender,*Phoenix,Neutered Male
2 years,A697075,Dog,Pharaoh Hound Mix,Fawn,2015-02-17T15:20:00.000,2015-02-17T15:20:00.000,Houston St And Grover Ave in Austin (TX),Normal,Stray,*Phara,Intact Female
1 day,A751799,Cat,Domestic Shorthair Mix,Black/White,2017-06-13T10:16:00.000,2017-06-13T10:16:00.000,409 Black Son Ave in Austin (TX),Nursing,Stray,,Intact Female
7 months,A709755,Dog,Great Dane Mix,Black/White,2015-08-14T11:39:00.000,2015-08-14T11:39:00.000,56Th And Martin in Austin (TX),Normal,Stray,*Danny Boy,Intact Male
2 months,A751558,Cat,Domestic Shorthair Mix,Brown Tabby/White,2017-06-09T14:52:00.000,2017-06-09T14:52:00.000,1001 West Braker Lane in Austin (TX),Normal,Stray,Pepper,Intact Female
3 months,A745035,Cat,Domestic Shorthair Mix,Black/White,2017-03-11T15:49:00.000,2017-03-11T15:49:00.000,3006 Norfolk Dr in Austin (TX),Normal,Stray,*Aimee,Intact Female
2 years,A755464,Dog,Pit Bull Mix,Black/White,2017-08-03T15:55:00.000,2017-08-03T15:55:00.000,1604 Ranch Road 620 South in Austin (TX),Normal,Stray,Penelope,Spayed Female
10 years,A431223,Dog,Vizsla Mix,Tan,2014-11-08T22:54:00.000,2014-11-08T22:54:00.000,4434 Frontier Trl in Austin (TX),Normal,Stray,Dante,Neutered Male
4 weeks,A729847,Cat,Domestic Shorthair Mix,Black,2016-06-24T15:21:00.000,2016-06-24T15:21:00.000,1156 W. Cesar Chavez in Austin (TX),Nursing,Stray,,Intact Male
5 months,A706338,Cat,Domestic Shorthair Mix,Blue Tabby/White,2015-06-27T15:40:00.000,2015-06-27T15:40:00.000,4703 Crest Oak in Austin (TX),Normal,Stray,,Intact Female
3 days,A680447,Cat,Domestic Shorthair Mix,Black,2014-06-03T07:24:00.000,2014-06-03T07:24:00.000,4434 Frontier Trl in Austin (TX),Nursing,Stray,,Intact Male
2 years,A758017,Dog,Staffordshire Mix,Tan/White,2017-09-10T12:02:00.000,2017-09-10T12:02:00.000,2337 East Cesar Chavez Street in Austin (TX),Normal,Stray,Silas,Neutered Male
10 years,A345209,Dog,Labrador Retriever Mix,Tan,2014-11-26T22:17:00.000,2014-11-26T22:17:00.000,4106 N Lamar Blvd in Austin (TX),Normal,Stray,Chula,Spayed Female
6 months,A759776,Dog,Border Collie Mix,Black/White,2018-02-23T14:42:00.000,2018-02-23T14:42:00.000,5708 West Parmer Lane in Travis (TX),Normal,Stray,Ralfie,Neutered Male
13 years,A710303,Dog,Labrador Retriever Mix,Tan,2015-08-21T10:53:00.000,2015-08-21T10:53:00.000,Manassas Dr And Roehampton Dr in Austin (TX),Normal,Stray,Bella,Spayed Female
2 years,A689585,Dog,American Staffordshire Terrier Mix,Red/White,2014-10-06T15:13:00.000,2014-10-06T15:13:00.000,E Parmer Ln And Us 290 in Austin (TX),Normal,Stray,*Brownie,Intact Male
1 year,A669651,Cat,Domestic Shorthair Mix,Blue Tabby,2013-12-24T12:10:00.000,2013-12-24T12:10:00.000,Austin (TX),Normal,Owner Surrender,Maynard,Neutered Male
2 years,A712951,Dog,Queensland Heeler Mix,Black/Brown,2015-09-30T15:54:00.000,2015-09-30T15:54:00.000,9608 North Creek Dr in Austin (TX),Normal,Stray,*Pontiac,Intact Male
6 years,A689403,Cat,Domestic Shorthair Mix,Calico,2014-10-03T16:20:00.000,2014-10-03T16:20:00.000,2613 W 49Th St in Austin (TX),Normal,Stray,,Intact Female
2 years,A703435,Dog,Chihuahua Shorthair Mix,Tan,2015-05-24T16:39:00.000,2015-05-24T16:39:00.000,2319 Montague in Austin (TX),Normal,Stray,*Marty,Intact Male
5 years,A755148,Dog,American Pit Bull Terrier Mix,Tan,2017-07-29T15:57:00.000,2017-07-29T15:57:00.000,500 East Riverside Drive in Austin (TX),Normal,Stray,Mandolin,Intact Female
1 week,A737578,Cat,Domestic Shorthair Mix,Brown Tabby,2016-11-01T11:24:00.000,2016-11-01T11:24:00.000,12345 Alamea Trace Cir in Austin (TX),Normal,Stray,,Unknown
4 months,A714659,Dog,Blue Lacy Mix,Blue/White,2015-10-26T14:53:00.000,2015-10-26T14:53:00.000,13100 Greenbury Dr in Manor (TX),Normal,Stray,*Winnie,Spayed Female
2 years,A707288,Dog,Harrier Mix,Black/Tricolor,2015-07-11T11:08:00.000,2015-07-11T11:08:00.000,7201 Levander Loop in Austin (TX),Normal,Stray,Texas,Neutered Male
1 month,A664490,Dog,Labrador Retriever Mix,Black,2013-10-04T11:05:00.000,2013-10-04T11:05:00.000,6001 Cougar Dr in Austin (TX),Normal,Stray,*Nikko,Intact Male
7 months,A714991,Cat,Domestic Shorthair Mix,Black,2016-03-04T11:37:00.000,2016-03-04T11:37:00.000,Austin (TX),Normal,Owner Surrender,Shorty,Neutered Male
0 years,A678670,Cat,Domestic Shorthair Mix,Brown Tabby,2014-05-11T14:46:00.000,2014-05-11T14:46:00.000,Austin (TX),Normal,Owner Surrender,Chiquita,Intact Female
1 year,A665224,Dog,Flat Coat Retriever Mix,Black/White,2013-10-15T12:33:00.000,2013-10-15T12:33:00.000,Austin (TX),Normal,Owner Surrender,Jet,Intact Male
4 years,A652101,Dog,Pit Bull/Chow Chow,Tan/White,2015-12-31T11:23:00.000,2015-12-31T11:23:00.000,Austin (TX),Normal,Public Assist,Stella,Spayed Female
4 weeks,A712529,Cat,Domestic Shorthair Mix,Black,2015-09-24T15:25:00.000,2015-09-24T15:25:00.000,920 Water St in Travis (TX),Normal,Stray,*Starburst,Intact Female
5 years,A678933,Dog,Australian Cattle Dog/Labrador Retriever,Tan/White,2014-05-14T11:30:00.000,2014-05-14T11:30:00.000,Castle Ridge in Austin (TX),Normal,Stray,*Biscuit,Spayed Female
2 years,A722477,Dog,Chihuahua Shorthair Mix,Tan,2016-03-17T13:37:00.000,2016-03-17T13:37:00.000,6502 S 1St St in Austin (TX),Normal,Stray,*Gaddie,Intact Female
1 month,A705942,Cat,Domestic Shorthair Mix,Brown Tabby/White,2015-06-22T18:33:00.000,2015-06-22T18:33:00.000,7651 Delwau Ln in Austin (TX),Normal,Stray,*Livia,Intact Female
0 years,A710568,Cat,Domestic Shorthair Mix,Black/White,2015-08-24T17:22:00.000,2015-08-24T17:22:00.000,11408 Tickford in Austin (TX),Nursing,Stray,*Orson,Intact Female
2 years,A724182,Dog,German Shepherd Mix,Black/Tan,2016-04-13T12:17:00.000,2016-04-13T12:17:00.000,S Pleasant Valley Rd & E Stassney Ln in Austin (TX),Normal,Stray,*Gregor,Intact Male
3 years,A752289,Other,Bat Mix,Brown,2017-06-20T13:47:00.000,2017-06-20T13:47:00.000,2910 E. 5Th in Austin (TX),Normal,Wildlife,,Unknown
1 year,A709996,Other,Bat Mix,Brown,2015-08-15T15:58:00.000,2015-08-15T15:58:00.000,110 E 2Nd St in Austin (TX),Normal,Wildlife,,Unknown
4 years,A733572,Cat,Maine Coon Mix,Brown Tabby/White,2016-08-23T18:44:00.000,2016-08-23T18:44:00.000,300 S Lamar in Austin (TX),Normal,Public Assist,Toby,Neutered Male
1 year,A689342,Dog,Labrador Retriever Mix,Black,2014-10-02T14:17:00.000,2014-10-02T14:17:00.000,7115 Dee Gabriel Collins Rd in Austin (TX),Injured,Stray,Harley,Neutered Male
3 weeks,A713825,Cat,Domestic Shorthair Mix,Brown Tabby,2015-10-13T18:32:00.000,2015-10-13T18:32:00.000,7708 Lohman Ford in Lago Vista (TX),Nursing,Stray,*Nemo,Intact Male
4 years,A743802,Dog,German Shepherd Mix,Tricolor,2017-02-17T10:27:00.000,2017-02-17T10:27:00.000,Austin (TX),Normal,Owner Surrender,Micah,Neutered Male
1 year,A744937,Dog,Great Pyrenees Mix,White,2017-04-25T09:58:00.000,2017-04-25T09:58:00.000,United Kingdom And Tensley Trl in Austin (TX),Normal,Public Assist,Iya,Intact Female
1 year,A744762,Dog,Australian Cattle Dog Mix,Blue Tick,2017-03-07T11:23:00.000,2017-03-07T11:23:00.000,Del Curto Rd in Austin (TX),Normal,Stray,Spud,Intact Male
8 years,A757687,Cat,Domestic Medium Hair Mix,Black/White,2017-09-05T11:32:00.000,2017-09-05T11:32:00.000,1503 Piedmont Ave in Austin (TX),Normal,Stray,,Neutered Male
3 months,A749854,Dog,Australian Cattle Dog Mix,Black/White,2017-05-20T13:53:00.000,2017-05-20T13:53:00.000,8220 Research Blvd in Austin (TX),Normal,Stray,*Flower,Intact Female
11 years,A668253,Dog,Australian Shepherd Mix,Brown/White,2013-11-30T16:40:00.000,2013-11-30T16:40:00.000,Us 183 And Jollyville Rd in Austin (TX),Normal,Stray,*Scarlett,Intact Female
2 weeks,A725655,Cat,Domestic Shorthair Mix,White/Black,2016-05-01T13:20:00.000,2016-05-01T13:20:00.000,6906 Bethune Ave in Austin (TX),Normal,Stray,D,Intact Female
6 years,A651630,Dog,Labrador Retriever/Chinese Sharpei,Tan,2013-10-01T11:23:00.000,2013-10-01T11:23:00.000,Outside Jurisdiction,Injured,Owner Surrender,Heather,Spayed Female
1 day,A725723,Cat,Domestic Shorthair Mix,Brown Tabby,2016-05-02T13:47:00.000,2016-05-02T13:47:00.000,1605 Berene Avenue in Austin (TX),Normal,Stray,,Unknown
3 years,A748628,Cat,Domestic Shorthair Mix,Black/White,2017-05-04T16:36:00.000,2017-05-04T16:36:00.000,1704 Overhill in Austin (TX),Normal,Stray,,Intact Male
8 years,A696947,Dog,Yorkshire Terrier,Black/Red,2015-02-15T11:24:00.000,2015-02-15T11:24:00.000,Dittmar /Palace Parkway in Austin (TX),Normal,Stray,Paris,Intact Female
2 years,A693036,Dog,German Shepherd,Sable,2016-11-04T12:19:00.000,2016-11-04T12:19:00.000,Airport And Bolm in Austin (TX),Normal,Stray,Chapo,Neutered Male
1 day,A713001,Cat,Domestic Shorthair Mix,White/Black,2015-10-01T13:38:00.000,2015-10-01T13:38:00.000,15204 Pocmont Trl in Austin (TX),Normal,Stray,,Unknown
1 year,A705359,Dog,Labrador Retriever Mix,Black/White,2015-06-16T17:31:00.000,2015-06-16T17:31:00.000,1931 E Ben White in Austin (TX),Normal,Stray,Harper,Intact Male
2 weeks,A710526,Cat,Domestic Shorthair Mix,Calico,2015-08-24T12:16:00.000,2015-08-24T12:16:00.000,12908 Vineyard Drive in Travis (TX),Normal,Stray,,Unknown
5 months,A730879,Dog,German Shepherd Mix,Red/Black,2016-07-12T11:13:00.000,2016-07-12T11:13:00.000,Izetta Ln & Bonneville Bend in Austin (TX),Normal,Stray,Rudy,Intact Male
1 year,A765540,Dog,Pointer Mix,Black/White,2018-01-22T12:24:00.000,2018-01-22T12:24:00.000,9325 North Lamar Boulevard in Austin (TX),Normal,Stray,Patton,Neutered Male
1 year,A745181,Dog,Labrador Retriever Mix,Brown,2017-03-14T10:20:00.000,2017-03-14T10:20:00.000,Austin (TX),Normal,Owner Surrender,Lola,Spayed Female
3 weeks,A688748,Cat,Domestic Shorthair Mix,Brown Tabby,2014-09-23T11:29:00.000,2014-09-23T11:29:00.000,Jean Dr And Grady Dr E in Austin (TX),Normal,Stray,,Intact Female
1 year,A699011,Cat,Domestic Shorthair Mix,Orange Tabby/White,2015-03-21T07:54:00.000,2015-03-21T07:54:00.000,14000 The Lakes Blvd in Pflugerville (TX),Normal,Stray,,Intact Male
2 years,A684862,Dog,Pit Bull Mix,Black,2014-07-29T16:34:00.000,2014-07-29T16:34:00.000,6405 S Ih 35 in Austin (TX),Normal,Stray,*Kennedy,Intact Male
2 years,A679944,Dog,Cairn Terrier Mix,White/Buff,2014-05-28T12:39:00.000,2014-05-28T12:39:00.000,W 22Nd St  & Longview in Austin (TX),Normal,Stray,,Intact Female
9 months,A719587,Dog,German Shepherd/Border Collie,Black/White,2016-01-23T11:01:00.000,2016-01-23T11:01:00.000,7201 Levander Loop in Austin (TX),Normal,Stray,Andy,Intact Male
14 years,A744117,Dog,Labrador Retriever Mix,Yellow,2017-02-23T12:05:00.000,2017-02-23T12:05:00.000,6900 Colt Ct in Mustang Ridge (TX),Aged,Stray,,Neutered Male
4 months,A687052,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-08-30T15:17:00.000,2014-08-30T15:17:00.000,Thome Valley And Bahan Dr in Del Valle (TX),Normal,Stray,,Intact Male
2 days,A743864,Dog,Great Pyrenees Mix,White,2017-02-18T14:03:00.000,2017-02-18T14:03:00.000,Travis (TX),Nursing,Owner Surrender,,Unknown
4 months,A706200,Dog,Wirehaired Pointing Griffon Mix,Black/White,2015-06-26T10:54:00.000,2015-06-26T10:54:00.000,3001 Cedar St in Austin (TX),Normal,Public Assist,Buddah,Neutered Male
1 month,A749555,Cat,Domestic Shorthair Mix,Black,2017-05-16T12:28:00.000,2017-05-16T12:28:00.000,7501 Bluff Springs in Austin (TX),Nursing,Stray,*Onyx,Intact Male
8 months,A714570,Dog,Beagle Mix,Tricolor,2015-10-25T13:56:00.000,2015-10-25T13:56:00.000,W Parmer Ln And Metric Blvd in Austin (TX),Normal,Stray,*Chaney,Intact Female
9 months,A765882,Cat,Domestic Shorthair Mix,Brown Tabby,2018-01-29T11:48:00.000,2018-01-29T11:48:00.000,1156 West Cesar Chavez in Austin (TX),Normal,Stray,Ricochete,Neutered Male
8 years,A670937,Dog,Beagle/Jack Russell Terrier,White/Tan,2016-09-02T09:33:00.000,2016-09-02T09:33:00.000,15877 Long Vista Drive in Austin (TX),Normal,Public Assist,Sadee Lynn,Spayed Female
2 weeks,A710036,Cat,Domestic Shorthair Mix,Orange Tabby,2015-08-16T12:22:00.000,2015-08-16T12:22:00.000,Austin (TX),Normal,Stray,,Intact Female
1 year,A690275,Dog,Labrador Retriever/German Shepherd,Sable,2014-10-17T11:56:00.000,2014-10-17T11:56:00.000,Newport And Bluff Bend in Austin (TX),Normal,Stray,*Dexter,Intact Male
2 years,A737793,Dog,Chihuahua Shorthair Mix,Cream,2016-11-04T14:23:00.000,2016-11-04T14:23:00.000,9505 Aberdeen in Austin (TX),Injured,Owner Surrender,Fifi,Intact Female
3 years,A679575,Dog,American Staffordshire Terrier Mix,Brown Brindle/White,2014-05-23T10:44:00.000,2014-05-23T10:44:00.000,2222/ Boulder Ln in Austin (TX),Normal,Stray,*Hooper,Intact Male
8 years,A701109,Cat,Domestic Longhair Mix,Black/White,2015-04-24T11:20:00.000,2015-04-24T11:20:00.000,Rockway Drive & Oak Grove Circle in Austin (TX),Normal,Stray,,Neutered Male
5 years,A684390,Dog,Chihuahua Shorthair Mix,Buff/White,2014-07-22T18:45:00.000,2014-07-22T18:45:00.000,4704 Louis Ave. in Austin (TX),Normal,Stray,*Spencer,Intact Male
2 months,A707801,Cat,Domestic Shorthair Mix,Cream Tabby/White,2015-07-18T11:44:00.000,2015-07-18T11:44:00.000,W William Cannon Dr And Emerald Forest Dr in Austin (TX),Normal,Stray,*Oz,Intact Male
5 weeks,A745337,Dog,Beagle Mix,Sable,2017-03-16T11:07:00.000,2017-03-16T11:07:00.000,10206 North Interstate 35 Frontage Road in Austin (TX),Normal,Stray,*Pablo,Intact Male
2 months,A684497,Cat,Domestic Shorthair Mix,Brown Tabby,2014-07-24T15:42:00.000,2014-07-24T15:42:00.000,4803 S. 183 in Travis (TX),Sick,Stray,,Intact Male
1 year,A674312,Other,Ferret Mix,Brown/White,2014-03-11T11:48:00.000,2014-03-11T11:48:00.000,2936 Barton Skyway in Austin (TX),Normal,Stray,Arnie,Neutered Male
4 weeks,A700693,Cat,Domestic Shorthair Mix,Blue Tabby,2015-04-18T11:56:00.000,2015-04-18T11:56:00.000,9501 Hergotz in Austin (TX),Normal,Stray,*Misty,Intact Female
3 years,A615725,Dog,Pit Bull Mix,White,2014-09-27T11:58:00.000,2014-09-27T11:58:00.000,4604 Knottingwood in Austin (TX),Normal,Stray,Cookie,Spayed Female
4 weeks,A710686,Cat,Domestic Shorthair Mix,Brown Tabby,2015-08-26T11:43:00.000,2015-08-26T11:43:00.000,2406 Rosewood Ave in Austin (TX),Normal,Stray,*Legolas,Intact Male
6 months,A691721,Dog,Pit Bull Mix,Blue Tiger/White,2014-11-08T13:39:00.000,2014-11-08T13:39:00.000,5808 Wilcab Rd in Austin (TX),Normal,Stray,Dozer,Intact Female
7 years,A715382,Cat,Domestic Medium Hair Mix,Blue Tabby/White,2015-11-04T13:55:00.000,2015-11-04T13:55:00.000,Helen in Austin (TX),Sick,Stray,,Intact Female
1 year,A704323,Dog,Australian Shepherd Mix,Brown,2015-06-03T15:52:00.000,2015-06-03T15:52:00.000,15204 Sweet Caddies Dr in Travis (TX),Normal,Stray,,Intact Female
1 week,A728779,Dog,Glen Of Imaal Mix,Black/White,2016-06-08T13:51:00.000,2016-06-08T13:51:00.000,2315 E 10Th St in Austin (TX),Normal,Stray,,Intact Female
11 years,A733947,Dog,Chihuahua Shorthair Mix,Chocolate/White,2017-03-23T13:57:00.000,2017-03-23T13:57:00.000,12609 Lexington Street in Manor (TX),Normal,Stray,Dorie,Spayed Female
1 month,A749195,Dog,Labrador Retriever Mix,Black,2017-05-12T09:49:00.000,2017-05-12T09:49:00.000,5200 Bolm Rd in Austin (TX),Normal,Stray,,Intact Male
1 month,A752809,Cat,Domestic Shorthair Mix,Blue/White,2017-06-27T16:15:00.000,2017-06-27T16:15:00.000,4106 N Lamar in Austin (TX),Normal,Stray,*Fourth,Intact Female
4 years,A695674,Dog,Rottweiler Mix,Black/Tan,2015-01-20T12:06:00.000,2015-01-20T12:06:00.000,Austin (TX),Normal,Owner Surrender,Chico,Neutered Male
8 years,A684299,Dog,Australian Shepherd Mix,Black/Tan,2014-07-21T15:38:00.000,2014-07-21T15:38:00.000,Austin (TX),Normal,Owner Surrender,Lucy,Spayed Female
11 months,A662050,Dog,Bull Terrier Mix,Brown Brindle/White,2014-04-02T14:02:00.000,2014-04-02T14:02:00.000,7601 Northview Ln in Travis (TX),Normal,Stray,Gracie,Spayed Female
5 years,A721486,Cat,Maine Coon Mix,Orange Tabby/Cream,2016-02-27T17:38:00.000,2016-02-27T17:38:00.000,Austin (TX),Normal,Owner Surrender,Mango,Neutered Male
1 month,A751994,Cat,Domestic Shorthair Mix,Blue/White,2017-06-16T13:49:00.000,2017-06-16T13:49:00.000,East Mlk And Alexandria in Austin (TX),Normal,Stray,*Leticia,Intact Female
4 months,A709962,Cat,Domestic Medium Hair Mix,Blue,2015-08-15T11:11:00.000,2015-08-15T11:11:00.000,15134 Sarahs Creek Dr in Pflugerville (TX),Normal,Stray,,Intact Female
3 years,A708275,Dog,Pit Bull Mix,Tan/White,2015-07-25T11:21:00.000,2015-07-25T11:21:00.000,Travis (TX),Normal,Stray,Dylan,Intact Male
4 weeks,A723224,Other,Opossum Mix,Gray/White,2016-03-28T15:04:00.000,2016-03-28T15:04:00.000,Outside Jurisdiction,Normal,Stray,,Unknown
3 weeks,A724349,Other,Opossum,Brown,2016-04-16T08:39:00.000,2016-04-16T08:39:00.000,1601 Faro in Austin (TX),Nursing,Wildlife,,Unknown
2 months,A666891,Cat,Siamese Mix,Seal Point,2013-11-08T16:53:00.000,2013-11-08T16:53:00.000,Paleface Ranch Road in Travis (TX),Normal,Stray,,Intact Female
4 months,A690051,Cat,Domestic Shorthair Mix,White/Blue,2014-10-13T14:45:00.000,2014-10-13T14:45:00.000,Stacy Ln & Cumberland Dr in Austin (TX),Normal,Stray,,Intact Male
2 years,A758057,Cat,Domestic Shorthair Mix,Black/Black,2017-09-10T16:21:00.000,2017-09-10T16:21:00.000,5600 Abilene Trail in Austin (TX),Normal,Stray,*Darth,Neutered Male
6 months,A716819,Cat,Domestic Shorthair Mix,Blue Tabby,2015-11-25T14:31:00.000,2015-11-25T14:31:00.000,7304 Quicksilver Cir in Austin (TX),Feral,Stray,Bite Cat,Intact Female
1 weeks,A712853,Cat,Domestic Shorthair Mix,Orange Tabby,2015-09-29T11:16:00.000,2015-09-29T11:16:00.000,6403 Tiner in Austin (TX),Normal,Stray,Elwood,Intact Male
4 years,A676268,Dog,Pit Bull Mix,Tan/Brown,2017-03-27T09:24:00.000,2017-03-27T09:24:00.000,4606 Clawson Rd in Austin (TX),Injured,Stray,Bud E.,Neutered Male
1 year,A722252,Other,Bat Mix,Brown,2016-03-13T16:23:00.000,2016-03-13T16:23:00.000,4205 Duval Rd in Austin (TX),Normal,Wildlife,,Unknown
4 years,A718170,Cat,Domestic Shorthair Mix,Blue,2015-12-23T11:28:00.000,2015-12-23T11:28:00.000,2317 S Pleasant Valley in Austin (TX),Normal,Stray,,Spayed Female
2 years,A675592,Dog,Welsh Terrier Mix,Tricolor,2014-03-29T15:10:00.000,2014-03-29T15:10:00.000,January Dr And Braker in Austin (TX),Normal,Stray,*Spencer,Intact Male
1 year,A733685,Dog,Black Mouth Cur Mix,Tan,2016-08-25T17:30:00.000,2016-08-25T17:30:00.000,E Stassney Ln And Burleson Rd in Austin (TX),Normal,Stray,*Jensy,Intact Male
2 years,A726284,Dog,Pomeranian Mix,Tan/Black,2017-11-08T11:37:00.000,2017-11-08T11:37:00.000,15416 Sarahs Creek Drive in Pflugerville (TX),Normal,Stray,Kosmo,Intact Male
7 months,A741214,Cat,Domestic Shorthair Mix,Black,2016-12-29T14:21:00.000,2016-12-29T14:21:00.000,7400 Shaw Dr in Austin (TX),Normal,Stray,,Intact Female
8 years,A736657,Dog,Pekingese Mix,White/Tan,2016-10-14T16:57:00.000,2016-10-14T16:57:00.000,Austin (TX),Normal,Owner Surrender,Elyse,Spayed Female
1 year,A732796,Dog,Pit Bull Mix,Blue,2016-08-13T12:25:00.000,2016-08-13T12:25:00.000,Howard Ln And Mcniel Rd in Austin (TX),Normal,Stray,Stella,Intact Female
1 year,A721300,Cat,Domestic Shorthair Mix,Black/White,2016-02-24T14:40:00.000,2016-02-24T14:40:00.000,2616 W Braker Ln in Austin (TX),Normal,Stray,*Oliver,Intact Male
9 months,A684338,Dog,Jack Russell Terrier/Labrador Retriever,Sable/White,2014-07-22T11:04:00.000,2014-07-22T11:04:00.000,Pleasant Valley And 12St in Austin (TX),Normal,Stray,Buddy,Intact Male
1 year,A691707,Dog,Miniature Poodle Mix,Blue/Black,2015-01-02T18:27:00.000,2015-01-02T18:27:00.000,13304 Thome Valley in Travis (TX),Normal,Stray,Mitzy,Spayed Female
3 months,A745868,Dog,Jack Russell Terrier Mix,Cream,2017-03-25T14:44:00.000,2017-03-25T14:44:00.000,6908 Branchwood Dr in Austin (TX),Normal,Stray,,Intact Female
2 months,A754459,Cat,Domestic Shorthair Mix,Tortie,2017-07-21T11:37:00.000,2017-07-21T11:37:00.000,7613 Bethune in Austin (TX),Normal,Stray,Dolly,Intact Female
6 months,A760230,Cat,Domestic Shorthair Mix,Orange Tabby,2017-10-15T07:41:00.000,2017-10-15T07:41:00.000,Alpha Collier Dr in Austin (TX),Injured,Stray,,Intact Male
5 months,A751508,Cat,Domestic Shorthair Mix,Brown Tabby/White,2017-06-09T10:23:00.000,2017-06-09T10:23:00.000,Dessau Rd & E Howard Ln in Austin (TX),Normal,Stray,*Henny Penny,Intact Female
4 weeks,A668291,Cat,Domestic Longhair Mix,Black/Chocolate,2013-12-01T13:44:00.000,2013-12-01T13:44:00.000,15301 Brenda St in Austin (TX),Feral,Stray,,Intact Male
3 years,A681506,Dog,Rottweiler Mix,Black/Brown,2014-06-30T14:51:00.000,2014-06-30T14:51:00.000,Austin (TX),Normal,Owner Surrender,Alex,Neutered Male
